user_id,full_name,transaction_date,city,region,product_category,age,subscription,price,sale_amount,quantity,store_id,status,username,email,raw_timestamp
U2306,Varsha Singh,2023-01-07,Bangalore,West,Jewellery,58,Free,56306.19,480314.65,2,S006,,varsha.singh70,,2024-07-26 02:07:29
U2324,Suresh Shukla,2024-11-25,Nagpur,South,Mobiles,35,Free,126960.78,139878.38,15,S015,,suresh.shukla83,suresh.shukla83@gmail.com,2024-02-14 21:21:19
U2342,Ritu Agarwal,2024-10-28,Bhopal,Central,Books,48,Premium,68970.06,490931.82,2,S016,Pending,ritu.agarwal66,ritu.agarwal66@hotmail.com,2024-02-06 09:52:14
U2318,Karan Chatterjee,2024-09-13,Hyderabad,West,Home & Garden,62,Free,58663.6,192373.55,6,S001,,karan.chatterjee36,karan.chatterjee36@hotmail.com,2023-08-25 03:34:50
U2306,Tanya Chauhan,2024-01-01,Chennai,West,Clothing,61,Premium,41069.22,440539.36,15,S012,,,tanya.chauhan54@hotmail.com,2024-11-29 03:20:42
U2004,Tanvi Pillai,2023-06-16,Chennai,West,Mobiles,20,Premium,98678.36,320078.21,10,S014,Inactive,tanvi.pillai42,tanvi.pillai42@rediffmail.com,2023-10-06 03:53:42
U2047,Anika Pandey,2024-10-11,Hyderabad,West,Sports,22,Enterprise,131028.69,152035.55,4,S015,Pending,anika.pandey55,,2023-01-05 00:45:56
U2085,Lakshmi Yadav,2023-03-22,Chennai,Central,Jewellery,46,Enterprise,145286.87,359902.77,12,S018,Pending,lakshmi.yadav73,lakshmi.yadav73@gmail.com,2024-11-01 12:32:08
U2155,Varsha Mishra,2024-06-16,Delhi,East,Toys,29,Enterprise,133165.42,424157.68,12,S013,Unknown,varsha.mishra90,varsha.mishra90@gmail.com,2023-08-30 19:33:18
U2171,Ayaan Naidu,2023-10-16,Chandigarh,West,Clothing,16,Enterprise,71544.49,133276.52,3,S019,,,ayaan.naidu45@rediffmail.com,2023-01-04 14:29:10
U2198,Vihaan Sinha,2024-10-07,Lucknow,West,Sports,43,Basic,5585.73,109212.71,8,S001,,vihaan.sinha70,vihaan.sinha70@outlook.com,2024-04-29 18:59:04
U2119,Sai Malhotra,2024-06-23,Lucknow,Central,Clothing,65,Premium,143308.81,335724.14,7,S020,Unknown,sai.malhotra56,sai.malhotra56@hotmail.com,2023-12-28 22:15:42
U2258,Prachi Joshi,2024-01-22,Kochi,South,Electronics,20,Premium,147261.04,478328.32,15,S006,,prachi.joshi7,,2024-08-10 08:12:45
U2080,Myra Menon,2024-02-15,Chandigarh,Central,Jewellery,33,Premium,73113.09,,10,S013,Unknown,myra.menon25,myra.menon25@rediffmail.com,2023-01-17 13:52:36
U2289,Sai Verma,2023-09-22,Kolkata,Central,Toys,28,Basic,81687.93,227301.96,14,S010,,sai.verma22,sai.verma22@hotmail.com,2024-03-05 13:06:50
U2175,Sonal Menon,2023-12-21,Kanpur,North,Groceries,62,Free,111334.63,413672.89,15,S008,Pending,,sonal.menon72@rediffmail.com,2023-05-09 04:37:17
U2177,Uma Singh,2024-07-05,Delhi,South,Toys,39,Premium,,332497.94,11,S019,,,uma.singh70@yahoo.com,
U2133,Karan Verma,2023-11-18,Hyderabad,West,Clothing,34,Premium,76556.54,111823.85,13,S016,Inactive,karan.verma65,karan.verma65@hotmail.com,2023-02-25 07:13:06
U2208,Karan Bose,2023-01-20,Mumbai,South,Toys,32,Free,112265.79,62661.04,6,S011,,,karan.bose42@outlook.com,2023-02-03 22:47:15
U2151,Kavya Tiwari,2024-03-27,Delhi,East,Sports,40,Free,95246.33,106244.38,13,S020,Inactive,kavya.tiwari8,kavya.tiwari8@gmail.com,2024-02-20 16:33:49
U2214,Ritu Bose,2024-09-30,Hyderabad,North,Groceries,35,Enterprise,6969.54,412072.63,2,S018,Unknown,ritu.bose8,ritu.bose8@hotmail.com,2023-10-03 07:31:13
U2309,Reyansh Menon,2024-06-13,Mumbai,Central,Clothing,38,Free,70767.51,336410.46,14,S015,,,reyansh.menon81@outlook.com,2023-04-12 19:32:40
U2003,Sai Kapoor,2023-09-02,Chennai,South,Books,60,Basic,8557.33,100651.44,11,S004,Inactive,,sai.kapoor92@yahoo.com,2024-03-01 12:02:23
U2191,Vikram Agarwal,2023-11-03,Delhi,East,Groceries,34,Basic,47943.99,317224.0,5,S015,,,vikram.agarwal98@outlook.com,2023-08-19 11:40:45
U2102,Reyansh Mukherjee,2024-09-09,Chennai,North,Sports,31,Premium,90193.15,404773.19,15,S019,,,reyansh.mukherjee58@gmail.com,2024-12-17 19:52:31
U2136,Atharv Mishra,2023-04-11,Chennai,Central,Sports,29,Free,146282.94,,14,S002,Inactive,atharv.mishra50,atharv.mishra50@yahoo.com,2024-10-17 16:22:05
U2303,Advait Pandey,2023-02-27,Delhi,West,Sports,64,Premium,128460.15,157932.55,6,S015,Unknown,,advait.pandey80@hotmail.com,2024-09-30 07:51:02
U2278,Ananya Yadav,2023-01-27,Hyderabad,North,Toys,47,Free,41694.34,287666.5,14,S002,,ananya.yadav99,ananya.yadav99@gmail.com,2024-07-27 11:44:28
U2219,Vihaan Kapoor,2023-11-16,Kochi,East,Mobiles,53,Basic,97764.13,75530.6,1,S017,Active,vihaan.kapoor28,vihaan.kapoor28@gmail.com,2023-04-28 02:06:13
U2114,Ishaan Pillai,2023-02-21,Chennai,West,Electronics,62,Free,142989.98,146701.91,10,S015,Pending,ishaan.pillai56,ishaan.pillai56@hotmail.com,2023-11-19 19:53:00
