customer_id,customer_name,email,registration_date,customer_type,valid_email
1,Allison Hill,donaldgarcia@example.net,2026-03-22,PREMIUM,True
2,Javier Johnson,jesseguzman@example.net,2024-02-21,REGULAR,True
3,Kimberly Robinson,lisa02@example.net,2024-10-24,REGULAR,True
4,Daniel Gallagher,daviscolin@example.com,2025-05-10,PREMIUM,True
5,Monica Herrera,smiller@example.net,2025-05-26,REGULAR,True
6,Laura Bush,stanleykendra@example.org,2026-02-10,PREMIUM,True
7,Jamie Chavez,francisco53@example.net,2024-05-06,PREMIUM,True
8,Maria Lynch,amandasanchez@example.com,2024-09-06,VIP,True
9,Margaret Hawkins DDS,perezantonio@example.com,2024-09-30,PREMIUM,True
10,Thomas Bradley,jason76@example.net,2024-12-02,REGULAR,True
11,David Hoffman,julie69@example.com,2024-08-18,VIP,True
12,Brenda Snyder PhD,hernandezernest@example.net,2024-10-23,PREMIUM,True
13,James Ferrell,tasha01@example.net,2026-03-14,VIP,True
14,Patricia Peterson,ryan70@example.net,2026-03-04,REGULAR,True
15,Jonathan White,harrellkenneth@example.net,2025-01-25,PREMIUM,True
16,James Martin,georgetracy@example.org,2026-05-02,REGULAR,True
17,Sandra Parker,allenashley@example.org,2023-10-20,VIP,True
18,Mr. Philip Cannon,donnaarroyo@example.org,2024-05-04,PREMIUM,True
19,Jenny Lewis,jenniferross@example.net,2025-06-30,VIP,True
20,Joseph Martinez,calebsmith@example.net,2024-03-27,VIP,True
21,Benjamin Welch,carlosjohnson@example.com,2023-10-04,PREMIUM,True
22,Michael Lewis,jenniferkhan@example.net,2024-12-18,VIP,True
23,Rhonda Lee,hopkinsmichael@example.com,2024-12-11,REGULAR,True
24,Megan Joyce,brownjessica@example.org,2024-04-16,VIP,True
25,Jerry Henderson,steven17@example.net,2023-11-03,REGULAR,True
26,Kimberly Smith,housemelinda@example.org,2024-10-06,REGULAR,True
27,Dr. Steven Martin,gallowayjoseph@example.com,2024-05-26,VIP,True
28,Monica Logan,smoore@example.org,2026-06-14,REGULAR,True
29,Kimberly Adkins,williamsthomas@example.net,2024-01-07,PREMIUM,True
30,Angela Lopez,leonardjoe@example.org,2026-05-15,REGULAR,True
31,Lauren Williams,barnesbrandy@example.net,2024-06-29,REGULAR,True
32,Michael Edwards,randy47@example.com,2026-05-02,REGULAR,True
33,Alexandra Howell,jonesjason@example.com,2023-12-11,PREMIUM,True
34,Benjamin Sanchez,eric84@example.net,2026-07-01,PREMIUM,True
35,Kendra Contreras,sarah12@example.com,2023-11-22,PREMIUM,True
36,Juan Nelson,jenniferharris@example.net,2026-02-07,VIP,True
37,Danielle Odonnell,davisrodney@example.com,2023-09-05,PREMIUM,True
38,Carlos Whitney,joycearnold@example.com,2025-03-24,REGULAR,True
39,Tony Vazquez,amydavenport@example.net,2025-03-15,PREMIUM,True
40,Andrew Diaz,nolanjason@example.org,2025-07-18,PREMIUM,True
41,Justin Baxter,sarayoung@example.org,2026-06-22,REGULAR,True
42,Sierra Johnson,kimberly63@example.com,2024-01-09,VIP,True
43,Janet Williams,dwalker@example.com,2024-06-17,PREMIUM,True
44,Crystal Johnson,raymondramirez@example.org,2026-06-12,VIP,True
45,Martin Ross,sheila14@example.org,2025-04-15,VIP,True
46,Mrs. Linda Reed,samuel81@example.com,2026-03-30,VIP,True
47,Andrew Graham,michaeljones@example.net,2026-04-23,REGULAR,True
48,Mary Martinez,william65@example.com,2025-08-21,VIP,True
49,Cheryl Ortega,lbyrd@example.net,2025-04-02,VIP,True
50,Roy Torres,russellcarpenter@example.net,2024-07-06,REGULAR,True
51,Michael Dixon,donnacampbell@example.net,2025-06-11,VIP,True
52,Robert Potter,jeffrey32@example.org,2023-09-07,VIP,True
53,Miss Patricia Gibson,jennifercruz@example.com,2024-04-11,REGULAR,True
54,Abigail Potter,osbornejeffery@example.net,2025-02-05,REGULAR,True
55,David Charles,danderson@example.net,2025-02-20,PREMIUM,True
56,Emily Fischer,usalazar@example.net,2024-10-28,PREMIUM,True
57,Jill Moore,wcole@example.org,2026-01-24,PREMIUM,True
58,Richard Washington,joshuajones@example.com,2024-04-01,VIP,True
59,Steven Miller,jessebenson@example.net,2024-03-09,VIP,True
60,Gary Owens,clarkrobert@example.net,2026-05-20,VIP,True
61,Spencer Johnston,wsmith@example.com,2025-10-21,REGULAR,True
62,Tiffany Barnes,tracynelson@example.com,2023-08-19,VIP,True
63,Michael Powell,marycalhoun@example.net,2025-02-23,PREMIUM,True
64,Leslie Alvarado,dayderekexample.com,2024-02-03,REGULAR,False
65,Garrett Gibson,kathleen64@example.com,2024-04-20,REGULAR,True
66,Alec Ryan,jeffrey10@example.org,2026-05-24,REGULAR,True
67,Alex Hernandez,thomaswilson@example.org,2024-12-09,PREMIUM,True
68,Jacob Obrien,stricklandfrank@example.com,2023-11-14,PREMIUM,True
69,Eric Byrd,tsanders@example.org,2023-10-10,PREMIUM,True
70,Lori Garcia,melissa91@example.net,2025-11-22,REGULAR,True
71,Jeffrey Wood,alexander67@example.org,2024-11-05,REGULAR,True
72,Steven Stevens,ryangross@example.net,2024-05-10,VIP,True
73,Kimberly Webb,lpetersen@example.com,2024-07-06,VIP,True
74,Timothy Ramirez,dsanchez@example.net,2025-05-17,PREMIUM,True
75,Allen Rosales,tonykelly@example.com,2024-07-26,REGULAR,True
76,Meredith Hill,blackjames@example.org,2025-09-15,VIP,True
77,Peter Vaughn DDS,bwest@example.org,2024-06-05,PREMIUM,True
78,David Beck,thomas85@example.com,2026-07-15,PREMIUM,True
79,Heather Chavez,john13@example.com,2023-11-27,VIP,True
80,Pamela Lopez,joannahill@example.net,2026-06-23,PREMIUM,True
81,Diane Garcia,kennethward@example.com,2023-08-03,REGULAR,True
