customer_id,customer_name,email,registration_date,customer_type
1,Allison Hill,donaldgarcia@example.net,2026-03-22,PREMIUM
2,Javier Johnson,jesseguzman@example.net,2024-02-21,REGULAR
3,Kimberly Robinson,lisa02@example.net,2024-10-24,REGULAR
4,Daniel Gallagher,daviscolin@example.com,2025-05-10,PREMIUM
5,Monica Herrera,smiller@example.net,2025-05-26,REGULAR
6,Laura Bush,stanleykendra@example.org,2026-02-10,PREMIUM
7,Jamie Chavez,francisco53@example.net,2024-05-06,PREMIUM
8,Maria Lynch,amandasanchez@example.com,2024-09-06,VIP
9,Margaret Hawkins DDS,perezantonio@example.com,2024-09-30,PREMIUM
10,Thomas Bradley,jason76@example.net,2024-12-02,REGULAR
11,David Hoffman,julie69@example.com,2024-08-18,VIP
12,Brenda Snyder PhD,hernandezernest@example.net,2024-10-23,PREMIUM
13,James Ferrell,tasha01@example.net,2026-03-14,VIP
14,Patricia Peterson,ryan70@example.net,2026-03-04,REGULAR
15,Jonathan White,harrellkenneth@example.net,2025-01-25,PREMIUM
16,James Martin,georgetracy@example.org,2026-05-02,REGULAR
17,Sandra Parker,allenashley@example.org,2023-10-20,VIP
18,Mr. Philip Cannon,donnaarroyo@example.org,2024-05-04,PREMIUM
19,Jenny Lewis,jenniferross@example.net,2025-06-30,VIP
20,Joseph Martinez,calebsmith@example.net,2024-03-27,VIP
21,Benjamin Welch,carlosjohnson@example.com,2023-10-04,PREMIUM
22,Michael Lewis,jenniferkhan@example.net,2024-12-18,VIP
23,Rhonda Lee,hopkinsmichael@example.com,2024-12-11,REGULAR
24,Megan Joyce,brownjessica@example.org,2024-04-16,VIP
25,Jerry Henderson,steven17@example.net,2023-11-03,REGULAR
26,Kimberly Smith,housemelinda@example.org,2024-10-06,REGULAR
27,Dr. Steven Martin,gallowayjoseph@example.com,2024-05-26,VIP
28,Monica Logan,smoore@example.org,2026-06-14,REGULAR
29,Kimberly Adkins,williamsthomas@example.net,2024-01-07,PREMIUM
30,Angela Lopez,leonardjoe@example.org,2026-05-15,REGULAR
31,Lauren Williams,barnesbrandy@example.net,2024-06-29,REGULAR
32,Michael Edwards,randy47@example.com,2026-05-02,REGULAR
33,Alexandra Howell,jonesjason@example.com,2023-12-11,PREMIUM
34,Benjamin Sanchez,eric84@example.net,2026-07-01,PREMIUM
35,Kendra Contreras,sarah12@example.com,2023-11-22,PREMIUM
36,Juan Nelson,jenniferharris@example.net,2026-02-07,VIP
37,Danielle Odonnell,davisrodney@example.com,2023-09-05,PREMIUM
